Date	WetSnow	DrySnow	BareGround
20140920	nan	nan	nan
20140921	nan	nan	nan
20140922	nan	nan	nan
20140923	nan	nan	nan
20140924	nan	nan	nan
20140925	nan	nan	nan
20140926	nan	nan	nan
20140927	nan	nan	nan
20140928	0.0	0.0	100.0
20140929	0.0	0.0	100.0
20140930	0.0	0.0	100.0
20141001	0.0	0.0	100.0
20141002	0.0	0.0	100.0
20141003	0.0	0.0	100.0
20141004	0.1114	0.0	99.89
20141005	0.1114	0.0	99.89
20141006	0.0	0.0	100.0
20141007	0.0	0.0	100.0
20141008	0.0	0.0	100.0
20141009	0.0	0.0	100.0
20141010	0.0	0.0	100.0
20141011	0.0	0.0	100.0
20141012	0.0	0.0	100.0
20141013	0.0	0.0	100.0
20141014	0.0	0.0	100.0
20141015	0.0	0.0	100.0
20141016	0.0	0.0	100.0
20141017	1.672	5.396	92.93
20141018	1.56	5.396	93.04
20141019	1.073	4.962	93.96
20141020	0.8974	4.809	94.29
20141021	0.8974	4.809	94.29
20141022	0.8974	3.935	95.17
20141023	nan	nan	nan
20141024	nan	nan	nan
20141025	nan	nan	nan
20141026	nan	nan	nan
20141027	nan	nan	nan
20141028	nan	nan	nan
20141029	nan	nan	nan
20141030	nan	nan	nan
20141031	nan	nan	nan
20141101	nan	nan	nan
20141102	nan	nan	nan
20141103	nan	nan	nan
20141104	nan	nan	nan
20141105	nan	nan	nan
20141106	nan	nan	nan
20141107	nan	nan	nan
20141108	nan	nan	nan
20141109	nan	nan	nan
20141110	nan	nan	nan
20141111	nan	nan	nan
20141112	nan	nan	nan
20141113	nan	nan	nan
20141114	nan	nan	nan
20141115	nan	nan	nan
20141116	nan	nan	nan
20141117	nan	nan	nan
20141118	nan	nan	nan
20141119	nan	nan	nan
20141120	nan	nan	nan
20141121	nan	nan	nan
20141122	nan	nan	nan
20141123	nan	nan	nan
20141124	nan	nan	nan
20141125	nan	nan	nan
20141126	nan	nan	nan
20141127	nan	nan	nan
20141128	nan	nan	nan
20141129	nan	nan	nan
20141130	nan	nan	nan
20141201	nan	nan	nan
20141202	nan	nan	nan
20141203	nan	nan	nan
20141204	nan	nan	nan
20141205	nan	nan	nan
20141206	nan	nan	nan
20141207	nan	nan	nan
20141208	nan	nan	nan
20141209	nan	nan	nan
20141210	nan	nan	nan
20141211	nan	nan	nan
20141212	nan	nan	nan
20141213	nan	nan	nan
20141214	nan	nan	nan
20141215	nan	nan	nan
20141216	nan	nan	nan
20141217	nan	nan	nan
20141218	nan	nan	nan
20141219	nan	nan	nan
20141220	nan	nan	nan
20141221	nan	nan	nan
